stock_price,option_price,delta,hedging_error,pnl,pnl_with_hedge
100.000000, 4.390790, 0.428624, 0.000000, 0.000000, 0.000000
101.885757, 5.209830, 0.476663, -0.014575, -0.014575, -0.819040
103.085624, 5.785004, 0.507238, -0.022120, -0.007545, -1.394214
104.886653, 6.702995, 0.552759, -0.031176, -0.009055, -2.312205
107.508317, 8.178822, 0.617091, -0.062944, -0.031768, -3.788032
106.978971, 7.817843, 0.604341, -0.034397, 0.028547, -3.427053
104.994278, 6.650513, 0.554608, -0.072140, -0.037743, -2.259723
106.549791, 7.484880, 0.593683, -0.048931, 0.023209, -3.094090
107.059996, 7.752794, 0.606282, -0.019483, 0.029448, -3.362004
109.040222, 8.962725, 0.654016, -0.034511, -0.015028, -4.571934
108.364224, 8.487523, 0.638220, -0.007613, 0.026898, -4.096733
107.696355, 8.027933, 0.622106, 0.019710, 0.027323, -3.637143
108.229475, 8.324228, 0.635306, 0.049223, 0.029514, -3.933438
105.745767, 6.784329, 0.572384, 0.005216, -0.044007, -2.393539
103.784862, 5.695364, 0.519551, -0.033541, -0.038757, -1.304574
101.954246, 4.732150, 0.468170, -0.026213, 0.007328, -0.341359
101.201113, 4.350353, 0.446236, -0.001279, 0.024934, 0.040438
100.083343, 3.832949, 0.413775, 0.013286, 0.014565, 0.557841
100.481329, 3.963100, 0.423924, 0.044085, 0.030799, 0.427690
98.921870, 3.301325, 0.378623, 0.040940, -0.003146, 1.089466
97.163902, 2.646159, 0.328280, 0.027113, -0.013826, 1.744631
98.264846, 2.989863, 0.357346, 0.041928, 0.014815, 1.400927
96.776351, 2.456574, 0.314424, 0.040127, -0.001801, 1.934216
97.023532, 2.502351, 0.319556, 0.069299, 0.029171, 1.888439
96.668913, 2.358469, 0.308077, 0.097039, 0.027741, 2.032322
97.588707, 2.619612, 0.332056, 0.116553, 0.019513, 1.771179
96.955099, 2.381854, 0.312529, 0.140974, 0.024421, 2.008936
98.203727, 2.758891, 0.346410, 0.151414, 0.010440, 1.631900
99.373167, 3.146772, 0.379218, 0.165553, 0.014139, 1.244019
98.181200, 2.680239, 0.342478, 0.176659, 0.011106, 1.710551
97.421470, 2.394101, 0.318659, 0.199554, 0.022895, 1.996690
97.786590, 2.477247, 0.327475, 0.229935, 0.030380, 1.913543
98.867342, 2.811279, 0.357898, 0.246913, 0.016979, 1.579511
97.652549, 2.363391, 0.319887, 0.256823, 0.009910, 2.027399
95.283836, 1.655734, 0.250664, 0.203920, -0.052903, 2.735056
95.632161, 1.713361, 0.258009, 0.231422, 0.027501, 2.677430
93.489116, 1.195099, 0.199630, 0.194502, -0.036919, 3.195691
93.301664, 1.132004, 0.192683, 0.218463, 0.023961, 3.258787
91.749606, 0.838847, 0.154538, 0.210915, -0.007548, 3.551944
91.397986, 0.764344, 0.144648, 0.229777, 0.018862, 3.626447
92.823906, 0.967930, 0.173960, 0.231234, 0.001457, 3.422860
92.669757, 0.916925, 0.167861, 0.253940, 0.022706, 3.473865
92.553895, 0.873504, 0.162657, 0.276485, 0.022545, 3.517286
91.631439, 0.711265, 0.139746, 0.287301, 0.010816, 3.679526
91.486339, 0.669940, 0.134164, 0.307177, 0.019876, 3.720850
90.990052, 0.585973, 0.121572, 0.323440, 0.016263, 3.804818
92.523664, 0.773018, 0.151502, 0.321831, -0.001609, 3.617772
94.268362, 1.045225, 0.191444, 0.312667, -0.009164, 3.345565
91.941187, 0.644385, 0.133229, 0.266329, -0.046338, 3.746406
92.537318, 0.704110, 0.143560, 0.284901, 0.018572, 3.686680
93.927379, 0.898960, 0.174083, 0.288388, 0.003487, 3.491830
