date,stock_price,option_price,implied_volatility,delta,hedging_error,pnl,pnl_with_hedge
2011-07-05, 532.440000, 44.200000, 0.259714, 0.722692, 0.000000, 0.000000, 0.000000
2011-07-06, 535.360000, 46.900000, 0.269365, 0.733354, -0.592306, -2.700000, -0.592306
2011-07-07, 546.600000, 55.300000, 0.269886, 0.787600, -0.752017, -11.100000, -0.752017
2011-07-08, 531.990000, 43.950000, 0.268593, 0.719435, -0.911843, 0.250000, -0.911843
2011-07-11, 527.280000, 41.000000, 0.275983, 0.691555, -1.352675, 3.200000, -1.352675
2011-07-12, 534.010000, 46.400000, 0.286819, 0.722806, -2.100699, -2.200000, -2.100699
2011-07-13, 538.260000, 49.300000, 0.287166, 0.745090, -1.931215, -5.100000, -1.931215
2011-07-14, 528.940000, 41.150000, 0.272209, 0.706945, -0.727700, 3.050000, -0.727700
2011-07-15, 597.620000, 99.650000, 0.281501, 0.940750, -10.676672, -55.450000, -10.676672
2011-07-18, 594.940000, 97.650000, 0.300430, 0.926448, -11.200699, -53.450000, -11.200699
2011-07-19, 602.550000, 103.800000, 0.266235, 0.960294, -10.303193, -59.600000, -10.303193
2011-07-20, 595.350000, 97.800000, 0.299720, 0.931931, -11.220582, -53.600000, -11.220582
2011-07-21, 606.990000, 108.150000, 0.275673, 0.964262, -10.726437, -63.950000, -10.726437
2011-07-22, 618.230000, 118.700000, 0.248421, 0.986001, -10.442007, -74.500000, -10.442007
2011-07-25, 618.980000, 119.950000, 0.294258, 0.971588, -10.956485, -75.750000, -10.956485
2011-07-26, 622.520000, 123.250000, 0.286979, 0.978583, -10.820970, -79.050000, -10.820970
2011-07-27, 607.220000, 108.650000, 0.304817, 0.957694, -11.197434, -64.450000, -11.197434
2011-07-28, 610.940000, 112.100000, 0.302665, 0.964978, -11.088847, -67.900000, -11.088847
2011-07-29, 603.690000, 106.800000, 0.370062, 0.924716, -12.789011, -62.600000, -12.789011
